id,text,entry_type,french_gloss,english_gloss,category,notes,audio_filename,contributor,timestamp
1,"Mon mbom, tu es where?","statement","Mon pote, tu es où ?","My guy, where are you?","People and address terms","Constructed example built from lexicon entries (mbom); not a recorded/verified real-speaker statement.","","",""
2,"C'est comment, tara? On est ensemble.","statement","Comment ça va, ami ? On est ensemble.","How's it going, buddy? We're together (solidarity).","Greetings and social formulas","Constructed example built from lexicon entries (tara, on est ensemble); not a recorded/verified real-speaker statement.","","",""
3,"Je n'ai pas de nkap, je suis sec.","statement","Je n'ai pas d'argent, je suis fauché.","I have no money, I'm broke.","Money, work and hustle","Constructed example built from lexicon entries (nkap, sec); not a recorded/verified real-speaker statement.","","",""
4,"Il a fait le djoba pour avoir le mbourou.","statement","Il a fait le boulot pour avoir l'argent.","He did the job to get the money.","Money, work and hustle","Constructed example built from lexicon entries (djoba, mbourou); not a recorded/verified real-speaker statement.","","",""
5,"Tu sabi ca? Je mimba que oui.","statement","Tu sais ça ? Je pense que oui.","Do you know that? I think so.","Common verbs and actions","Constructed example built from lexicon entries (sabi, mimba); not a recorded/verified real-speaker statement.","","",""
6,"On va tchop avant de kick.","statement","On va manger avant de partir.","We'll eat before leaving.","Common verbs and actions","Constructed example built from lexicon entries (tchop, kick); not a recorded/verified real-speaker statement.","","",""
7,"Je suis dans mon kwatt, pas loin du carrefour.","statement","Je suis dans mon quartier, pas loin du carrefour.","I'm in my neighbourhood, not far from the junction.","Places, movement and transport","Constructed example built from lexicon entries (kwatt, carrefour); not a recorded/verified real-speaker statement.","","",""
8,"Prends un clando pour aller au mboa.","statement","Prends un taxi clandestin pour aller au village.","Take an unlicensed taxi to go to the hometown.","Places, movement and transport","Constructed example built from lexicon entries (clando, mboa); not a recorded/verified real-speaker statement.","","",""
9,"On va chop le ndole avec du chaud mimbo.","statement","On va manger le ndolé avec de la boisson forte.","We'll eat ndolé with strong drink.","Food and drink","Constructed example built from lexicon entries (ndole, mimbo, chaud); not a recorded/verified real-speaker statement.","","",""
10,"Ce gars est vraiment fort, il est top.","statement","Ce garçon est vraiment fort, il est excellent.","That guy is really skilled, he's excellent.","Describing people and things","Constructed example built from lexicon entries (fort, top); not a recorded/verified real-speaker statement.","","",""
