word,part_of_speech,english_meaning,origin,section
mbom,noun,guy; mate; dude; a male friend,Cameroonian langs,People
mola,noun,friend; brother; buddy,Duala,People
tara,noun,friend; pal,Pidgin,People
djo,noun,guy; bloke,"Fr. gars, inverted",People
gars,noun,guy; mate; friend of either sex,French,People
nga,noun,girl; girlfriend,Cameroonian langs,People
go,noun,girl; girlfriend,Eng. girl,People
meuf,noun,woman; girl,Fr. verlan of femme,People
mbindi,noun,a small or younger person; a junior,Cameroonian langs,People
muna,noun,child; kid,Duala,People
petit,noun,younger sibling; junior; small boy,French,People
pater / pasho / pere,noun,father; dad,French,People
mater / masho,noun,mother; mum,French,People
mbut,noun,fool; gullible person,Cameroonian langs,People
ndoss,noun,"a sharp, streetwise operator; trickster",Cameroonian langs,People
feyman,noun,a con artist; a large-scale swindler,Pidgin / Eng.,People
longcrayon,noun,an intellectual; a highly educated person,Eng. long crayon,People
mbenguiste,noun,a Cameroonian living in or back from Europe,Mbeng + Fr. suffix,People
bushfaller,noun,someone who emigrated abroad to seek success,Pidgin,People
ngataman,noun,a prisoner; an ex-convict,ngata + Pidgin man,People
sauveteur,noun,a street hawker; informal vendor,French,People
bayam-sellam,noun,a market trader who buys to resell,Pidgin buy-and-sell-them,People
call-boxeur,noun,someone running a street phone-credit stand,Eng. + Fr. suffix,People
sapeur,noun,"a stylish, elaborately dressed man",French,People
kombi / combi,noun,close friend; companion,Pidgin,People
boss / patron,noun,boss; superior; flattering address to a stranger,French,People
C'est comment?,interjection / phrase,How's it going? What's up?,French,Greetings
Tu es how?,interjection / phrase,How are you?,Fr. + Eng.,Greetings
Y a quoi?,interjection / phrase,What's up? What's going on?,French,Greetings
On est ensemble,phrase,We're in this together,French,Greetings
On va faire comment?,phrase,What can we do?,French,Greetings
Tu vas faire comment?,phrase,What are you going to do about it?,French,Greetings
Le pays est dur,phrase,Times are hard; life here is tough,French,Greetings
Ca va aller,phrase,It will be alright,French,Greetings
Ashia,interjection,Sorry; expression of sympathy,Pidgin,Greetings
Ashouka,interjection,Serves you right,Cameroonian langs,Greetings
Na wa (oh),interjection,Expression of astonishment or dismay,Pidgin,Greetings
Ekie!,interjection,Exclamation of surprise or disbelief,Cameroonian langs,Greetings
Weh!,interjection,"Exclamation of pity, shock or admiration",Pidgin,Greetings
Na so,interjection / phrase,That's right; that's how it is,Pidgin,Greetings
Wanda,verb,to be amazed; a thing to marvel at,Eng. wonder,Greetings
Muf!,interjection / verb (imperative),Move! Get out of the way!,Pidgin move,Greetings
mbourou,noun,money,Cameroonian langs,Money
do,noun,money; cash,Eng. dough,Money
nkap,noun,money,Pidgin,Money
kolo,noun,a thousand CFA francs,Cameroonian langs,Money
gombo,noun,unofficial extra income; a bribe,"Fr. okra, figurative",Money
tchoko,noun / verb,a bribe; to bribe someone,Cameroonian langs,Money
taxer,verb,to cadge; to ask someone for money,French,Money
ngeme,noun,poverty; hardship; being broke,Cameroonian langs,Money
sec,adjective,broke; penniless,French,Money
bolo,noun,job; work,Fr. boulot,Money
djoba,noun,job; employment,Eng. job,Money
bizness / bizgo,noun,trade; hustle; informal business,Eng. business,Money
feymania,noun,confidence-trickery and large-scale fraud,feyman + suffix,Money
njoh,adjective,free of charge,Cameroonian langs,Money
damer,verb,to eat; to spend or consume,French,Money
lancer / se lancer,verb,to show off; to splash money around,French,Money
price,noun,price,English,Money
ya,verb,to hear; to understand; to feel,Pidgin hear,Verbs
